#Filename               , index,   readouts,   discards,     events,     ev_gbl, nonzero, firstnz, lastnz,  nonzero_gbl, firstnz_glbl,  lastnz_glbl
datafile101.bin         ,   101,      27708,       6576,      21132,    2110805,     492,      20,   1231,         1021,           18,         1235
datafile102.bin         ,   102,      28150,       6546,      21604,    2132409,     483,     184,   1232,         1021,           18,         1235
datafile103.bin         ,   103,      27925,       6699,      21226,    2153635,     477,     185,   1231,         1022,           18,         1235
datafile104.bin         ,   104,      28063,       6576,      21487,    2175122,     487,     187,   1232,         1022,           18,         1235
datafile105.bin         ,   105,      27868,       6672,      21196,    2196318,     484,     188,   1232,         1024,           18,         1235
datafile106.bin         ,   106,      27981,       6616,      21365,    2217683,     478,     187,   1231,         1024,           18,         1235
datafile107.bin         ,   107,      28298,       6706,      21592,    2239275,     485,     187,   1231,         1024,           18,         1235
datafile108.bin         ,   108,      10889,       2629,       8260,    2247535,     405,     185,   1231,         1024,           18,         1235
datafile109.bin         ,   109,      22745,       5380,      17365,    2264900,     456,     180,   1231,         1024,           18,         1235
datafile110.bin         ,   110,      17000,       3963,      13037,    2277937,     441,      20,   1232,         1024,           18,         1235
datafile111.bin         ,   111,      19345,       4612,      14733,    2292670,     443,     187,   1231,         1025,           18,         1235
datafile112.bin         ,   112,      28284,       6572,      21712,    2314382,     485,     187,   1231,         1026,           18,         1235
datafile113.bin         ,   113,      28336,       6661,      21675,    2336057,     481,     187,   1231,         1026,           18,         1235
datafile114.bin         ,   114,      28229,       6833,      21396,    2357453,     465,     187,   1232,         1028,           18,         1235
datafile115.bin         ,   115,      27985,       6593,      21392,    2378845,     473,     187,   1231,         1028,           18,         1235
datafile116.bin         ,   116,      28041,       6729,      21312,    2400157,     478,     187,   1232,         1028,           18,         1235
datafile117.bin         ,   117,      28213,       6709,      21504,    2421661,     488,     187,   1231,         1028,           18,         1235
datafile118.bin         ,   118,      28261,       6710,      21551,    2443212,     478,     183,   1231,         1028,           18,         1235
datafile119.bin         ,   119,      28201,       6628,      21573,    2464785,     469,     186,   1231,         1028,           18,         1235
datafile120.bin         ,   120,      28226,       6804,      21422,    2486207,     474,     187,   1231,         1028,           18,         1235
datafile121.bin         ,   121,      27889,       6643,      21246,    2507453,     474,     183,   1231,         1028,           18,         1235
datafile122.bin         ,   122,      28069,       6723,      21346,    2528799,     483,     187,   1231,         1029,           18,         1235
datafile123.bin         ,   123,      27896,       6469,      21427,    2550226,     473,     182,   1231,         1029,           18,         1235
datafile124.bin         ,   124,      27926,       6592,      21334,    2571560,     490,     184,   1231,         1029,           18,         1235
datafile125.bin         ,   125,      28113,       6579,      21534,    2593094,     486,     187,   1231,         1029,           18,         1235
datafile126.bin         ,   126,      28109,       6705,      21404,    2614498,     485,     187,   1231,         1030,           18,         1235
datafile127.bin         ,   127,      28293,       6760,      21533,    2636031,     472,     187,   1231,         1030,           18,         1235
datafile128.bin         ,   128,      28311,       6664,      21647,    2657678,     474,     185,   1231,         1030,           18,         1235
datafile129.bin         ,   129,      28503,       6985,      21518,    2679196,     477,     187,   1232,         1030,           18,         1235
datafile130.bin         ,   130,      28274,       6728,      21546,    2700742,     484,     188,   1232,         1030,           18,         1235
datafile131.bin         ,   131,      27796,       6642,      21154,    2721896,     481,     180,   1232,         1031,           18,         1235
datafile132.bin         ,   132,      27808,       6597,      21211,    2743107,     450,     187,   1231,         1031,           18,         1235
datafile133.bin         ,   133,      28014,       6686,      21328,    2764435,     484,     187,   1232,         1031,           18,         1235
datafile134.bin         ,   134,      27697,       6523,      21174,    2785609,     490,     187,   1231,         1031,           18,         1235
datafile135.bin         ,   135,      28072,       6590,      21482,    2807091,     495,     187,   1231,         1031,           18,         1235
datafile136.bin         ,   136,      27796,       6620,      21176,    2828267,     471,     187,   1231,         1031,           18,         1235
datafile137.bin         ,   137,       2973,        733,       2240,    2830507,     313,     188,   1231,         1031,           18,         1235
datafile138.bin         ,   138,        172,         62,        110,    2830617,      81,     189,   1213,         1031,           18,         1235
datafile139.bin         ,   139,        136,         45,         91,    2830708,      73,     189,   1230,         1031,           18,         1235
datafile140.bin         ,   140,        182,         63,        119,    2830827,      93,     188,   1196,         1031,           18,         1235
datafile141.bin         ,   141,        148,         38,        110,    2830937,      88,     188,   1230,         1031,           18,         1235
datafile142.bin         ,   142,         64,         20,         44,    2830981,      40,     189,   1205,         1031,           18,         1235
datafile143.bin         ,   143,         32,         13,         19,    2831000,      17,     291,   1173,         1031,           18,         1235
